date,price
"1511395200",8148.95
"1511481600",8250.978333333334
"1511568000",8707.407266666667
"1511654400",9284.1438
"1511740800",9718.29505
"1511827200",9952.50882
"1511913600",9879.328333333333
"1512000000",10147.372
"1512086400",10883.912
"1512172800",11071.368333333332
"1512259200",11332.622
"1512345600",11584.83
"1512432000",11878.433333333334
"1512518400",13540.980000000001
"1512604800",16501.971666666668
"1512691200",16007.436666666666
"1512777600",15142.834152123332
"1512864000",14869.805
"1512950400",16762.116666666665
"1513036800",17276.393333333333
"1513123200",16808.366666666665
"1513209600",16678.892
"1513296000",17771.899999999998
"1513382400",19498.683333333334
"1513468800",19289.785
"1513555200",18961.856666666667
"1513641600",17737.111666666668
"1513728000",16026.271666666667
"1513814400",16047.51
"1513900800",15190.945
"1513987200",15360.261666666667
"1514073600",13949.175000000001
"1514160000",14119.028333333334
"1514246400",15999.048333333332
"1514332800",15589.321666666665
"1514419200",14380.581666666667
"1514505600",14640.14
"1514592000",13215.573999999999
"1514678400",14165.574999999999
"1514764800",13812.186666666666
"1514851200",15005.856666666667
"1514937600",15053.261666666665
"1515024000",15199.355000000001
"1515110400",17174.12
"1515196800",17319.198
"1515283200",16651.471666666668
"1515369600",15265.906666666668
"1515456000",14714.253333333334
"1515542400",15126.398333333333
"1515628800",13296.794
"1515715200",13912.882000000001
"1515801600",14499.773333333333
"1515888000",13852.92
"1515974400",14012.196
"1516060800",11180.998333333331
"1516147200",11116.946666666669
"1516233600",11345.423333333332
"1516320000",11422.44
"1516406400",12950.793333333333
"1516492800",11505.228
"1516579200",10544.593333333332
"1516665600",11223.064
"1516752000",11282.258333333333
"1516838400",11214.44
"1516924800",10969.815
"1517011200",11524.776666666667
"1517097600",11765.71
"1517184000",11212.654999999999
"1517270400",10184.061666666666
"1517356800",10125.013333333334
"1517443200",9083.258333333333
"1517529600",8901.901666666667
"1517616000",9076.678333333333
"1517702400",8400.648333333333
"1517788800",6838.816666666667
"1517875200",7685.633333333334
"1517961600",8099.958333333333
"1518048000",8240.536666666667
"1518134400",8535.516666666668
"1518220800",8319.876566184
"1518307200",8343.455
"1518393600",8811.343333333332
"1518480000",8597.7675
"1518566400",9334.633333333333
"1518652800",9977.154
"1518739200",10127.161666666667
"1518825600",10841.991666666667
"1518912000",10503.298333333334
"1518998400",11110.964999999998
"1519084800",11390.391666666668
"1519171200",10532.791666666666
"1519257600",9931.071666666667
"1519344000",10162.116666666667
"1519430400",9697.956
"1519516800",9696.593333333332
"1519603200",10348.603333333334
"1519689600",10763.883333333333
"1519776000",10370.164999999999
"1519862400",11009.381666666668
"1519948800",11055.815
"1520035200",11326.948333333334
"1520121600",11430.181666666665
"1520208000",11595.54
"1520294400",10763.198333333334
"1520380800",10118.058
"1520467200",9429.111666666666
"1520553600",9089.278333333334
"1520640000",8746.002
"1520726400",9761.396666666666
"1520812800",9182.843333333332
"1520899200",9154.699999999999
"1520985600",8151.531666666667
"1521072000",8358.121666666666
"1521158400",8530.402
"1521244800",7993.674643641666
"1521331200",8171.415
"1521417600",8412.033333333333
"1521504000",8986.948333333334
"1521590400",8947.753333333334
"1521676800",8690.408333333333
"1521763200",8686.826666666666
"1521849600",8662.378333333334
"1521936000",8617.296666666667
"1522022400",8197.548333333334
"1522108800",7876.195
"1522195200",7960.38
"1522281600",7172.28
"1522368000",6882.531666666667
"1522454400",6935.48
"1522540800",6794.105
"1522627200",7035.848333333332
"1522713600",7410.435
"1522800000",6787.761666666666
"1522886400",6826.509999999999
"1522972800",6603.876666666667
"1523059200",6927.688
"1523145600",7017.656666666667
"1523232000",6699.2733333333335
"1523318400",6787.571666666667
"1523404800",6926.266666666666
"1523491200",7847.845
"1523577600",7895.408333333333
"1523664000",8036.511051408333
"1523750400",8340.748333333333
"1523836800",8043.803333333333
"1523923200",7895.416925956
"1524009600",8164.937425765001
"1524096000",8254.625
"1524182400",8852.718333333332
"1524268800",8807.205
